time,etco2,tv,relative_tv,relative_tv_story,pplat,relative_pplat,relative_pplat_story,spo2,max_spo2,rr_co2,hr,sbp,sbp_duplicate,mbp,mbp_duplicate,dbp,dbp_duplicate,tof,tof_ratio,mac,bis,temp
0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
0,4.8,466,225.7,236.8,25,152.5,128.1,99,100,14,105,137,137,96,96,75,75,0,0,1.0,43,36.3
1,4.8,466,225.7,236.8,25,152.5,128.1,99,100,14,105,137,,96,,75,,0,0,1.0,43,36.3
2,4.8,466,225.7,236.8,25,152.5,128.1,99,100,14,105,137,,96,,75,,0,0,1.0,43,36.3
3,4.8,466,225.7,225.7,25,152.5,152.5,99,100,14,105,137,,96,,75,,0,0,1.0,43,36.3
4,4.8,468,226.6,225.7,25,152.5,152.5,99,100,14,105,137,,96,,75,,0,0,1.0,43,36.3
5,4.8,468,226.6,225.7,25,152.5,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
6,4.8,468,226.6,225.7,25,152.5,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
7,4.8,468,226.6,226.6,25,152.5,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
8,4.8,491,237.8,226.6,21,128.1,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
9,4.8,491,237.8,226.6,21,128.1,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
10,4.8,491,237.8,226.6,21,128.1,152.5,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
11,4.8,491,237.8,237.8,21,128.1,128.1,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
12,4.8,450,217.9,237.8,22,134.2,128.1,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
13,4.8,450,217.9,237.8,22,134.2,128.1,99,100,14,104,137,,96,,75,,0,0,1.0,43,36.3
14,4.8,450,217.9,237.8,22,134.2,128.1,99,100,14,103,137,,96,,75,,0,0,1.0,43,36.3
15,4.7,450,217.9,217.9,22,134.2,134.2,99,100,14,103,137,,96,,75,,0,0,1.0,43,36.3
16,4.7,489,236.8,217.9,24,146.4,134.2,99,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
17,4.7,489,236.8,217.9,24,146.4,134.2,99,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
18,4.7,489,236.8,217.9,24,146.4,134.2,99,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
19,4.7,489,236.8,236.8,24,146.4,146.4,99,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
20,4.7,448,217.0,236.8,25,152.5,146.4,99,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
21,4.7,448,217.0,236.8,25,152.5,146.4,98,100,14,103,137,,96,,75,,0,0,1.0,42,36.2
22,4.7,448,217.0,236.8,25,152.5,146.4,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
23,4.7,448,217.0,217.0,25,152.5,152.5,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
24,4.7,476,230.5,217.0,21,128.1,152.5,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
25,4.7,476,230.5,217.0,21,128.1,152.5,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
26,4.7,476,230.5,217.0,21,128.1,152.5,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
27,4.7,476,230.5,230.5,21,128.1,128.1,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
28,4.7,480,232.5,230.5,21,128.1,128.1,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
29,4.7,480,232.5,230.5,21,128.1,128.1,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
30,4.7,480,232.5,230.5,21,128.1,128.1,98,100,14,102,137,,96,,75,,0,0,1.0,42,36.2
31,4.7,480,232.5,232.5,21,128.1,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
32,4.7,452,218.9,232.5,21,128.1,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
33,4.7,452,218.9,232.5,21,128.1,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
34,4.7,452,218.9,232.5,21,128.1,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
35,4.7,452,218.9,218.9,21,128.1,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
36,4.7,458,221.8,218.9,20,122.0,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
37,4.7,458,221.8,218.9,20,122.0,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
38,4.7,458,221.8,218.9,20,122.0,128.1,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
39,4.7,458,221.8,221.8,20,122.0,122.0,98,100,14,101,137,,96,,75,,0,0,1.0,42,36.2
40,4.7,445,215.5,221.8,21,128.1,122.0,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
41,4.7,445,215.5,221.8,21,128.1,122.0,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
42,4.7,445,215.5,221.8,21,128.1,122.0,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
43,4.7,445,215.5,215.5,21,128.1,128.1,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
44,4.7,460,222.8,215.5,25,152.5,128.1,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
45,4.6,460,222.8,215.5,25,152.5,128.1,98,100,14,100,137,,96,,75,,0,0,1.0,42,36.2
46,4.6,460,222.8,215.5,25,152.5,128.1,98,100,14,100,137,,96,,75,,0,0,1.0,41,36.1
47,4.6,460,222.8,222.8,25,152.5,152.5,98,100,14,100,137,,96,,75,,0,0,1.0,41,36.1
48,4.6,486,235.4,222.8,21,128.1,152.5,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
49,4.6,486,235.4,222.8,21,128.1,152.5,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
50,4.6,486,235.4,222.8,21,128.1,152.5,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
51,4.6,486,235.4,235.4,21,128.1,128.1,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
52,4.6,469,227.1,235.4,23,140.3,128.1,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
53,4.6,469,227.1,235.4,23,140.3,128.1,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
54,4.6,469,227.1,235.4,23,140.3,128.1,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
55,4.6,469,227.1,227.1,23,140.3,140.3,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
56,4.6,479,232.0,227.1,20,122.0,140.3,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
57,4.6,479,232.0,227.1,20,122.0,140.3,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
58,4.6,479,232.0,227.1,20,122.0,140.3,98,100,14,99,137,,96,,75,,0,0,1.0,41,36.1
